KEYS,en,chn
S38L9,"I remember that Planet FieryForge is the largest energy production planet in the alliance, so many forces have competed for it and fought for a period of time. However, the remaining forces did not give way to each other and eventually formed Iron Fist group, working together to develop Planet FieryForge and excluding external forces from entering. According to the intelligence of the empire, they have been guarding Planet FieryForge and unwilling to expand outward. Why did they come to the battlefield this time? And Robert seems like a researcher?",我记得炽焰星是联盟最大的能源生产星球， 所以曾经很多势力争夺过， 也打过一段时间的仗， 而最终剩下的几方势力互不相让， 最终形成了铁腕集团， 一起合作开发炽焰星， 并且排斥外部势力进入， 帝国的情报里他们一直守着炽焰星不愿向外扩张， 这次为何跑到战场上来了？而且貌似是个科研人员？
S38L10,"This may be a loophole in imperial intelligence. Although the current helmsman of the Planet FieryForge, Yug, has been acting in isolation from the world, he has been recruiting talents in recent years. In this war, Planet FieryForge has produced the most people and has the most comprehensive talents in all aspects. As for why Robert came to the front line, I'm not really sure. Maybe he's coveting the energy technology of the empire?",这可能就是帝国情报的疏漏了， 炽焰星目前的掌舵人尤格虽然一直表现得与世无争， 但其实这几年一直在网罗人才， 这次战争炽焰星出人最多， 各方面的人才也是最齐备的。至于罗伯特为何会来前线， 我其实不是很确定， 可能他是在在觊觎帝国的能源技术？
S38L11,"By the way, who is the person said they want to send me to Planet ForgeHarbor for research? He makes me feel the most uncomfortable, and what is the legislation on artificial humans in the alliance?",对了， 那个说要把我送去锻港星研究的人是谁？他让我感觉最不舒服， 而且联盟关于人造人的立法是怎样的？
S38L12,"That person is Alec Tyre from Planet ForgeHarbor. Planet ForgeHarbor is actually controlled by the Tyr family, and Alec is one of the current heirs of the Tyr family. This time on the battlefield should be to gain achievements, so that he can have a greater advantage in the inheritance war in the future. As far as I know, the various forces in the interstellar space are mostly at the stage of providing artificial human ideas. Apart from the Empire, I have never heard of anyone successfully conducting artificial human experiments, which is difficult to obtain support in all aspects. Therefore, there is no legislation regarding the rights or obligations of artificial humans",那个人是锻港星的泰尔.亚力克， 锻港星实际被泰尔家族掌控， 亚力克是泰尔家族目前的继承人之一， 这次上战场应该是为了获取功绩， 以便未来在继承人战争里能有更大的优势。关于人造人， 据我所知， 星际的各个势力最多停留在提供人造人设想的阶段， 除了帝国， 没听说过有谁成功进行过人造人实验， 这种事情在各方面都很难获得支持， 所以也没有关于人造人的权利或者义务立法
S38L13,"So he actually wants me to be his ""achievement""? That is to say, in the eyes of some members of the alliance, I am not actually a human being and do not have human rights, right?",所以他其实想让我成为他的“功绩”？也就是说， 在部分联盟人的眼里， 我其实不算人， 是没有人权的对吗？
S38L14,"I'm sorry, but it's true. However, it is not without benefits. Regarding your situation, your legal rights and responsibilities are vague before the alliance discusses a final decision. You can gain more autonomy than ordinary people, but you may also face more threats than ordinary people",很抱歉， 但是确实是这样。不过也不是没有好处， 关于你的情况， 在联盟讨论出一个定案之前， 你的法律权益和责任都是模糊的， 你比常人能获得更多的自主权， 但是也可能遭到比常人更多的威胁
S38L15,So how long can the alliance legislate on the rights and obligations of artificial humans? The current situation has really touched my knowledge blind spot,那么联盟多久可以对人造人的权益和义务进行立法呢？现在的情况真的触及我的知识盲区了
S38L16,"In my experience, the parliament is probably going through a lot of arguments now, and all parties are probably fighting until the end of the war. This is also a major feature of the alliance. When it comes to interests or new things from all parties, the parliament of the alliance always needs a particularly long time to debate. In fact, there are various conflicts of interest in the audience, and even……","按照我的经验来看, 议会现在估计吵翻天了， 各方角力下估计得等到战争结束吧， 这也是联盟的一大特色， 当涉及到各方利益或者新鲜事物的时候， 联盟的议会总是需要特别久的时间来争论， 实则台下在进行各种的利益勾兑， 甚至会进行……"
S38L17,"encountering enemies, we'll talk later and prepare for battle!",不对， 遇敌， 稍后再聊， 准备战斗！
,,
S39L1,"On June 8th, on the Alliance Supply Transport Line, the post-war supply team was cleaning up the mess",6月8日， 联盟补给运输线， 战后补给队在收拾残局
S39L2,"Huh......it was really a fierce battle, but this attack has confirmed some things for me. If the Empire were to attack, the types of warships would not be so diverse. It seems that there are indeed some people in the alliance who want us to die",呼……真是一场恶战， 不过这次袭击倒是让我确认了一些事情， 要是帝国袭击的话， 不至于战舰种类这么驳杂， 看来联盟内确实有一些人想要我们死
S39L3,"Has the political struggle within the alliance become so brutal? Or is it actually because of me? Is the identity of an artificial being so unpopular in the alliance, or was the identity of an imperial soldier so annoying in the past?",联盟内的政治斗争已经这么残酷了吗？还是说其实是因为我的原因？人造人的身份在联盟如此的不受待见， 还是曾经帝国士兵的身份这么惹人生厌？
S39L4,"My family occupies the Planet WhiteWind, which is the major grain producing planet of the alliance, but it is relatively backward in other aspects, so it is necessary to trade with the various forces of the alliance to complement each other's strengths and weaknesses. Now that you have joined, it means that we may have gained the military and biotechnology of the empire. In the future, our dependence on them will significantly decrease, which will undoubtedly harm their interests, which is something they do not want to see. Of course, it is not ruled out that extremists may contribute to your identity, but they may not be able to organize such a large-scale attack",我的家族占据的白风星， 是联盟的产粮大星， 但是其他方面比较落后， 所以需要与联盟各势力相互交易取长补短。现在有了你的加入， 意味着我们可能得到了帝国的军事和生物技术， 未来对他们的依赖会大幅下降， 这无疑会损害他们的利益， 这是他们不愿看到的。当然， 也不排除极端分子针对你的身份推波助澜， 但是他们应该组织不了这么大规模的袭击
S39L5,Wait......why do they think they will get the Empire's technology from me......Didn't you give them all the intelligence from the Empire prison?,等等……为什么他们认为会从我这里得到帝国的技术……难道你没有将帝国监狱的情报全部给他们吗？
S39L6,"Actually......since the last time I saw you suffer so much knowing that you are an artificial human, I have destroyed intelligence related to how to produce artificial humans and modify memories. The intelligence seen by the rest of the alliance only records what the empire did, but there is no information on how to do it",其实……自从上次看到你知道自己是人造人后如此痛苦， 我就把涉及到如何生产人造人和修改记忆的情报销毁了， 联盟其他人看到的情报目前只记录了帝国做了什么， 却没有如何做的信息
S39L7,"However, the data that has been modified will always be noticed by those with intentions. Even if you declare that you have deleted a part, some people will think that you have intercepted this part of the intelligence without authorization, right?",然而被改动的数据总会被有心人看出蛛丝马迹， 哪怕你声明自己删去了一部分， 也会有人认为你私自截留了这部分情报， 对吗？
S39L8,"Yes, although I have repeatedly claimed that I have removed inhumane technical information from it, there are still people within the alliance condemning me or demanding that I hand over non-existent intelligence. Of course, they may just be using this excuse to demand that my family relinquish more benefits",是的， 虽然我一再声称我已将其中不人道的技术信息删除， 但是联盟内仍然有人在谴责我或者要求我交出来不存在的情报。当然他们可能只是借这个由头来要求我的家族让渡出更多的利益
S39L9,"I see. Originally, the supply line was very hidden, but it was attacked by the Empire multiple times, indicating that someone in the alliance has been leaking intelligence, there is also a suspicion that someone may want to murder you with a borrowed knife. So it seems that the political struggle within the alliance is not at all easier than that of the empire. If the political situation of the empire is tense, then the political situation of the alliance is considered deceitful",原来如此， 本来补给线是很隐蔽的， 但是却多次被帝国袭击， 说明联盟内有人一直在泄露情报， 也不排除有人要借刀杀人的嫌疑。这么看来联盟内的政治斗争一点都不比帝国轻松， 如果说帝国的政治形势是剑拔弩张的话， 那么联盟的政治形势就算是尔虞我诈了
S39L10,"That's true, so I plan to go to the front line. The safety and concealment of the supply line itself no longer exist. It's easy to hide with open guns and difficult to defend with hidden arrows. It's better to go to the front line, even if you die in battle, it's better to be killed by your own people. You are very disappointed after hearing so much, right? I have also planned your destination for you. I know a person named Luna, who is a prophet of the WisdomScript tribe. They are all mutants, and their situation is similar to yours. If you want to go, I can send you the coordinates",确实如此， 所以我打算去往前线， 补给线本身安全隐蔽的特性已经不存在了， 明枪易躲， 暗箭难防， 不如去前线， 这样哪怕战死也好过被自己人阴死。听了这么多你很失望吧， 你的去处我也为你谋划好了， 我认识叫做露娜的人， 她是智翰族的先知， 她们这一族都是变种人， 和你的情况异曲同工， 如果你想去的话我可以把坐标发给你
S39L11,"Is that Luna with sharp ears? I have also met her before, and she told me not to harm you. Now it seems that she may really have the ability to predict. I also have the coordinates of her tribe's planet, but I have never looked for her",那个尖耳朵的露娜吗？我也曾经遇到过她， 她让我不要伤害你， 现在看来她可能真的有预知的能力吧， 她的族群所在星球的坐标我也有， 不过我一直没有去找过她
S39L12,"I see, she once told me that she needed my help and hoped that if I encountered someone with exceptional combat power in the future, I could recommend it to her because her tribe wanted to return to the monster ridden Planet WisdomScript, so that her tribe could have a better living environment. It is said that the scenery of Planet WisdomScript is beautiful, and there is also a beauty like Luna. How about that? Have you been very tempted?",原来如此， 她曾和我说过她需要我的帮助， 并希望我如果在未来遇到战力超群的人可以推荐给她， 因为她的族群想要回到怪物盘踞的智翰星， 这样她的族群才能获得比较好的生活环境。据说智翰星风景优美， 还有露娜这样的美人， 怎么样， 有没有很心动啊？
S39L13C1,"The alliance and empire are both too disappointing, I might as well remain neutral. It's better to take action than to be tempted. I've decided to go to the Planet shelter to find Luna. Take care of yourself and keep in touch whenever you have time",联盟和帝国都太让人失望了， 我不如保持中立。心动不如行动， 我决定去庇护星找露娜， 你多保重， 有空常联系……
S39L13C2,"If it were in the past, maybe I would have gone, but before I retired, I met a girl who was kind and intelligent. I wanted to protect her in a dangerous war……",如果是以前， 说不定我就去了， 但是在我退役前遇到了一个姑娘， 她善良又聪慧， 我要在危险的战争里保护她……
S39L14,Pension……Okay,潘森……好……
,,
S40L1,"On June 8th, on the Alliance Supply Transport Line, you watched helplessly as the shields of Joy's warship were shattered, and fragments scattered in space, like fireworks blooming in the universe. Immediately after, the hull of the warship began to withstand fierce attacks, with cracks spreading on the metal surface, like torn wounds. In the end, with a deafening roar, the bridge of the warship was hit, and you didn't wait for Joy's escape capsule. She stayed forever in this star field. You feel an incredible shock and numbness, as if the whole world has lost its color in an instant",6月8日， 联盟补给运输线， 你眼睁睁地看着悦然的战舰的护盾被击得支离破碎， 碎片在太空中四散飘飞， 像是宇宙中绽放的烟花。紧接着， 战舰的外壳开始承受不住猛烈的攻击， 一道道裂缝在金属表面蔓延开来， 像是被撕裂的伤口。最终， 在一声震耳欲聋的巨响中， 战舰的舰桥被击中， 你没有等到悦然的逃生舱， 她永远地留在了这片星域。你感到一种难以置信的震惊和麻木， 整个世界仿佛在一瞬间失去了色彩
S40L2,"tinkle, you have received a video that shows the sender as the alliance contact Joy White and has been automatically played for you",叮咚， 你收到一则视频， 显示发件人为联盟联系人白悦然， 已为你自动播放
S40L3,"Pension, if you see this video, then I guess I have already passed away. I just don't know if I died on the battlefield or was assassinated. Thinking about it, my heart really feels a bit heavy……",潘森， 如果你看到这则视频的话， 那我估计我已经去世了， 就是不知道是死在战场上还是被暗杀， 想想心情还真的有点沉重…… 
S40L4,The pupils of your gaze gradually focus: Joy……,你目光的瞳孔逐渐聚焦：悦然……
S40L5,"It is 1:32 am now, and I am recording this video because yesterday's alliance meeting made me realize that your situation may be very dangerous. Some people in the alliance are very opposed to human experiments, let alone artificial humans, and your presence represents great technological progress and interests. Some people should assume that you are a member of my White family camp, so these two types of people may take extreme measures. I retrieved intelligence and information from all parties in the alliance at night and found that since you entered the alliance, there have been unusual movements of people from several factions. I am not sure if it is targeting you or the two of us, perhaps I have been overthinking",现在是凌晨1点32分， 我录制这则视频， 是因为昨天的联盟会议让我意识到你的处境可能很危险， 联盟内有些人很反对人体实验， 更遑论人造人， 而且你的存在代表了极大的科技进步和利益， 有些人应该默认你是我白家阵营的人了， 所以这两种人可能会采取极端手段。我在晚上调取了联盟的各方情报和消息， 发现自从你进入联盟后， 联盟中有几方势力的人马都有不寻常的调动， 我不确定是针对你的还是针对我们两人的， 或许是我想多了
S40L6,You straightened your posture and were fully focused: Joy……,你摆正了姿势， 全神贯注：悦然……
S40L7,"So I want to tell you all of this, but speaking such unfounded words in the middle of the night is inevitably suspected of nonsense, and I also want to have a bit of a girl's reserved demeanor. But after all, we are in the vortex of war. If I accidentally die, this video will be sent to you",所以我想把这些都告诉你， 但是大半夜去说这种没证据的话难免有胡言乱语的嫌疑， 另外我也想要有一点女孩子的矜持。不过我们毕竟身处战争的漩涡， 如果我意外身亡了， 这则视频会发给你
S40L8,"You feel a wave of sadness coming over, and past experiences are constantly churning in your mind……",你感觉到一股悲伤袭来， 过往的经历在你的脑海中止不住地翻腾……
S40L9,"Since I am dead, it seems that the opponent no longer cares about the background of the White  family or your combat power. If you stay any longer, there may be a risk of death. Why not leave the alliance and find a person named Luna, who is a prophet of the WisdomScript tribe. The WisdomScript tribe are all mutants and are not accepted by other interstellar societies. I'm sure they won't reject you. This is the interstellar coordinates that Luna left me last time, and I sent them to you along with the video. Pension, live well……",既然我身死了， 那么看来对手已经不在意白家的背景或者你的战力了， 你再呆下去可能有杀身之祸， 要不还是离开联盟吧， 去找一个叫露娜的人， 她是智翰族的先知， 智翰族都是变种人， 不被星际其他社会接纳。想必他们应该不会排斥你， 这是露娜上次留给我的星际坐标， 随视频一起发给你了。潘森， 好好活下去…
S40L10,"(This is Joy's last words) Joy……No, I have to leave, otherwise there may be ambushes",（这是悦然最后的话语了）悦然……不行， 我得离开， 不然可能还有伏兵
,,
S41L1,"On June 11th, the Planet SingleRiver - Alliance Offensive Front - Special Mobile Team Camp, soldiers were watching Joy on stage from below",6月11日， 孤河星-联盟进攻前线-特别机动队营地， 士兵们在台下看着台上的悦然
S41L2,"Soldiers, you are standing here today because of your extraordinary courage, perseverance, and determination. Each of you is an elite member of the alliance and a source of pride for the people. Since the Alliance's conquest of the evil Empire, the Empire has been sending harassing troops to harass the Alliance. Our task is to defeat them and make the Alliance worry free. The one with outstanding achievements among you will be selected into the beheading force, receiving the best treatment and the most important task. The most outstanding among you will become the commander of the beheading force. Next is the Q&A session. Does anyone have any questions now?",士兵们， 你们今天站在这里， 是因为你们有着非凡的勇气、毅力和决心。你们中的每一位， 都是联盟的精英， 人民的骄傲。自从联盟征讨邪恶的帝国以来， 帝国一直在派骚扰部队袭扰联盟， 我们的任务就是打败他们， 让联盟再无后顾之忧。你们中战绩突出的， 会被选入斩首部队， 获得最好的待遇和最重要的任务， 你们中最突出的会成为斩首部队的指挥官。接下来是问答环节， 现在有人有什么问题吗？
S41L3,May I ask what is your relationship with the Empire's surrendered soldier Pension?,请问你和帝国降兵潘森是什么关系？
S41L4,What is the specific treatment for beheading troops?,斩首部队的具体待遇是怎么样的？
S41L5,Can I apply for withdrawal if my stomach is not feeling well?,我肚子不舒服， 可以申请退出吗？
S41L6,……\n……\n……,……\n……\n……
S41L7,"Personal questions will not be answered. The benefits of beheading troops can only be announced after joining. If you feel unwell in your stomach, you can go to the medical office to get medicine",私人问题不予回答。斩首部队的待遇需要加入后才能告知。肚子不舒服可以去医务处拿药。…… …… ……
S41L8,"This scene seems familiar……80 minutes later, Joy finished the Q&A session and walked towards you. You've had a long day, I can see that these soldiers are very excited and confused. I believe your answer can fully calm their emotions",这个场景似曾相识……80分钟后悦然结束了问答环节， 向你走了过来。辛苦了， 看得出来这些士兵很兴奋， 也很困惑， 想必你的解答能充分安抚他们的情绪
S41L9,"I hope so. The imperial army has been fighting year-round, so they are well-trained, and the harassing troops are even among the elites. They have broken through several encirclements of the alliance, and now no one dares to take over this task from the alliance. I racked my brains to extract these elites from the various forces in the alliance, hoping to successfully complete the task",希望如此吧， 帝国的部队常年征战， 所以训练有素， 骚扰部队更是其中的精英， 联盟的几次围剿都被他们突破， 现在联盟已经没人敢接手了。我绞尽脑汁才从联盟的各方势力中扣出这点精锐， 希望能顺利完成任务
S41L10,"Don't worry, I am here for all the problems, and I guarantee to complete the task",放心， 一切有我， 保证完成任务
S41L11,"Well, good luck",嗯， 祝你好运
,,
S42L1,"On June 14th, Planet SingleRiver - Alliance Offensive Front - beheading Force Camp",6月14日， 孤河星-联盟进攻前线-斩首部队营地
S42L2,"Ladies and gentlemen, we have eliminated the harassing forces of the empire, and the rear of the alliance has been stabilized. Thank you for your brave efforts in killing the enemy before. You are the most elite soldiers selected from the special mobility team, and the beheading unit you have formed is the most elite unit. Our first mission goal is Yue.Zhen, the defender of the Imperial Left Guard's Planet SentryRing. We need to kill him during the melee between the Empire and the Alliance. You are the bravest warriors in the alliance and the strongest backing. This mission is bound to succeed, and this battle is bound to win!",诸位， 帝国的骚扰部队被我们剿灭了， 联盟的后方得到了稳固， 感谢你们之前的奋勇杀敌。你们是从特别机动队选拔出的最精锐的战士， 组建的这支斩首部队是最精锐的部队。我们首次任务的目标是帝国左前卫的哨戒星的守将岳震， 我们需要在帝国和联盟混战的时候击杀他。你们是联盟最勇敢的战士， 是最坚强的后盾， 这次任务必然成功， 此战必胜！
S42L3,Win! Win!,必胜！必胜！
S42L4,Let's go!,出发！
,,
S43L1,"On June 17th, Planet SentryRing - Alliance Offensive Front - beheading Force Camp",6月17日， 哨戒星-联盟进攻前线-斩首部队营地
S43L2,"Our goal this time is the Planet Giant Shield of the Empire's Right Vanguard. We need to kill the Empire's defense leader Long.Zhanhai during the melee between the Empire and the Alliance. After this victory, our name will be engraved on the monument of history, and our bravery will be passed down for generations to come. Everyone, move forward courageously, and this battle will surely be won",我们这次的目标是帝国右前卫的巨盾星， 我们需要在帝国和联盟混战的时候击杀帝国防卫将领龙战海。此战胜后， 我们的名字将被刻在历史的丰碑上， 我们的英勇将被传颂千秋万代。各位奋勇向前， 此战必胜
S44L1,"On June 20th, Planet Giant Shield - Alliance Offensive Front - beheading Force Camp - Personal Rest Room",6月20日， 巨盾星-联盟进攻前线-斩首部队营地营地-个人休息室
S44L2,"Pension, this is where you used to serve, right?",潘森， 这里就是你曾经服役的地方对吗？
S44L3,"Yes, I didn't expect to be able to come back here. After experiencing so much, seeing the familiar scenery again really gives me a feeling of being separated",是的， 没想到居然还能回到这里， 经历这么多之后再看到熟悉的景色， 真的有种恍若隔世的感觉
S44L4,"Your return has brought more vitality and energy to this place. I know this place holds special significance for you, but please remember that you are stronger and more mature now, and you will continue to create beautiful memories here with new stories and experiences. Don't feel sad about past departures, because every departure is for a better reunion",你的归来给这个地方带来了更多的生机和活力。我知道这里对你来说有着特殊的意义， 但请记住， 现在的你更加坚强和成熟， 你将带着新的故事和经历， 继续在这里创造美好的回忆。不要为过去的离别感到难过， 因为每一次的离开都是为了更好的重逢
S44L5,"Puff......Joy, where did you copy these words from? It sounds awkward",噗……悦然， 你这是从哪里抄的词？听起来很尬的
S44L6,"A thousand comforting quotes, I looked through them all before finding the ones that seemed more appropriate. Is that embarrassing?",安慰人语录一千条， 我整个都看了一遍， 才找到这几句看上去比较合适的话， 很尬吗？
S44L7,"Hahaha, you copied very well. But don't copy again next time......Joy, I understand what you mean. Don't worry, after all, I was once the dirty blade of the empire, and I am not such a fragile person",哈哈哈， 抄的很好， 下次不要抄了……悦然， 我明白你的意思， 放心， 我毕竟是曾经的帝国脏刃， 我不是这么脆弱的人
S44L8,"Well, that's good. What about your subordinates?",嗯， 那就好。话说你的部下怎么样？
S44L9,"After experiencing so many major wars, those who have survived have become truly elite. I believe they are now quietly working hard in the camp, preparing for the enemy. Why don't we go take a look together",经历了这么几次大战， 存活下来的已经变成了真正的精锐， 想必现在他们正在营地里静静地厉兵秣马， 备战待敌吧。不如我们一起去看看吧
S44L10,"Okay, I'm also curious about what true elites are like",好啊， 我也很好奇真正的精锐是怎样的
S44L11,"Then you see the soldiers in the camp gathered in the cafeteria to celebrate, everyone drunk, and a few people calling you over to drink together. Wha……What's the situation?",然后你们看到营地里的士兵们都聚集在食堂庆祝， 每个人都喝得醉醺醺的， 还有几个人在招呼你过去一起喝。 这……是什么情况?
S44L12,"Haha, I knew you forgot. After the victory in battle yesterday, you gave a celebratory order. Joy pushed you from behind, come on, come on, celebrate",哈哈， 我就知道你忘了， 昨天战斗胜利后， 你下的庆祝命令啊。 从背后推了你一下， 来啊， 来庆祝吧
S44L13,"On June 21st, Planet Giant Shield - Alliance Offensive Front - beheading Force Camp - Personal Rest Room, you woke up from a hangover, feeling dizzy and headache",6月21日， 巨盾星-联盟进攻前线-斩首部队营地营地-个人休息室， 你强忍着宿醉的眩晕和头疼醒来
S44L14,"Come on, drink the sobering medicine, (stifle a laugh) Do you remember what happened yesterday?",来， 把醒酒药喝了吧， （忍笑）你还记得昨天发生了什么吗？ 
,,
S44L15R1,"Hiss, my head hurts so much, I can't remember",嘶， 头好痛， 我记不得了
S44L15R2,"I don't think I did anything bad in my impression, did I?",印象里好像没做什么不好的事吧？
S44L15R3,"I didn't underestimate you, did I? They all said that getting drunk might lead to doing things they wanted to do but didn't dare to do",我没轻薄你吧， 都说喝醉了可能做心里想做又不敢做的事
S44L15R4,"Of course, it's to kiss you, hug you, and lift you up high!",当然是把你亲亲抱抱举高高啦！
S44L16,"Hehehe, it seems you can't think of it. Let me tell you. Yesterday, after you got drunk, you first fed the fish in the cafeteria cat food, then led your drunken subordinates to run naked on the playground, and finally walked upside down to a personal lounge. You slept upside down until now",呵呵呵， 看来你是想不出来了， 让我告诉你吧， 昨天你喝醉了之后， 先是给食堂的鱼喂猫食， 然后领着自己喝醉的手下在操场裸奔， 最后倒立行走到个人休息室， 倒头就睡到现在
S44L17,"Ah! In the afternoon, we still need to attack the Empire's support forces. Hurry up and prepare to depart",啊！下午我们还要去突击帝国的后援部队， 快点准备出发吧
,,
S45L1,"On June 24th, Planet Giant Shield - Alliance Offensive Front - beheading Force Camp",6月24日， 巨盾星-联盟进攻前线-斩首部队营地
S45L2,"The next wave of reinforcements for the Iron Blooded Army from the Empire is about to arrive. Since the Alliance has surrounded Pluto and is preparing to annihilate the Iron Blooded Army, this is already the third wave of reinforcements. The first two waves of reinforcements arrived at Pluto, but were intercepted by us and our allies. How many troops are there in the empire",帝国的下一波支援铁血军的部队即将抵达， 自从联盟合围冥王星准备歼灭铁血军后， 这已经是第三波援军了， 前两波援军一波抵达了冥王星， 一波被我们和友军拦截了。帝国到底还有多少部队啊
S45L3,"I understand your concerns. The number of reinforcements from the Empire is indeed not quite normal. The confrontation with the Left and Right Vanguard has already consumed a large number of troops from the Alliance. However, through the last battle with the Empire's reinforcements, it is obvious that their numbers and quality have not changed much. This is not really good information. I suspect that they might be mass-producing artificial humans",我明白你的顾虑， 帝国的援军数量确实不太正常， 与左右前卫的对决已经消耗了联盟大量的兵员， 而通过上次和帝国援军的战斗， 明显感觉出他们的兵员数量和质量没有多大变化。这实在不是什么好信息， 我怀疑他们可能在大批量生产人造人
S45L4,I hope not. Does the Empire no longer care about interstellar law and the moral and ethical bottom line of humanity?,希望不是吧， 难道帝国已经不在意星际法和人类的道德伦理底线了吗？
S45L5,"Anyway, as long as we reach the imperial capital, everything will be clear. Let's set off",管他呢， 只要打到帝都， 一切就都见分晓了， 我们出发吧
,,
S46L1,"On June 28th, Planet Giant Shield - Alliance Offensive Front - beheading Force Camp",6月28日， 巨盾星-联盟进攻前线-斩首部队营地 
S46L2,"Oh no! Battlefield communication shows that a highly combat capable unit has just attacked the alliance's reinforcements, and the reinforcements have been basically wiped out. We need our urgent interception to strive for their complete elimination",不好， 战场通讯显示有一支战斗力很强的部队刚刚袭击了联盟的援军， 援军基本全灭， 需要我们的紧急截杀他们， 争取全部消灭
S46L3,Set out without delay,立即出发
,,
S47L1,"On July 1st, Planet Giant Shield - Alliance Offensive Front - beheading Force Camp",7月1日， 巨盾星-联盟进攻前线-斩首部队营地
S47L2,"Crocodile, confirm the location of the next wave of imperial reinforcements",巨鳄， 确认下一波帝国援军的位置
S47L3,"The latest military situation shows that the Empire is no longer sending reinforcements. The next task of the beheading troops is to attack the iron blooded army of Pluto. The alliance is already luring their troops to come forward, and your task is to take advantage of the chaos and destroy the commander's ship",最新的军情显示帝国已经不再派遣援军了， 斩首部队的下一个任务是袭击冥王星的铁血军， 联盟已经在引诱他们的兵力倾巢而出， 你们的任务是趁乱击毁统帅座舰
S47L4,"Is it an iron blooded army? Well, if I remember correctly, their head commander is Zhang.Jingya, a bit cunning and difficult to deal with. How did the alliance lure them out?",铁血军吗？唔， 没记错的话， 他们的主帅是张静雅， 有点狡诈难缠， 联盟是如何把他们引诱出来的？
S47L5,There is no detailed information in the alliance military database,联盟军事数据库中并无详细资料 
S47L6R1,Can you infer how it was done?,那你能推理下是如何做到的吗？
S47L6R2,"Well, it's time to miss SmartMeow again",唔， 又到了怀念智喵的时候了
S47L7,"Based on other information, it can be inferred that multiple strategies are working together, such as cutting off supply lines, spreading rumors, etc",根据其他信息综合之后推断， 应该是多种策略联合奏效， 例如截断补给线， 散布谣言等
S47L8,"Okay, then prepare and set off",好吧， 那准备一下就出发吧
,,
S48L1,"On July 5th, Planet Giant Shield - Alliance Offensive Front - beheading Force Camp",7月5日， 巨盾星-联盟进攻前线-斩首部队营地
S48L2,I never imagined that the famous Imperial Flower would fall like this. I have always wanted to meet this legendary female general who values both beauty and ability. It's really…… such a pity,想不到大名鼎鼎的帝国之花居然就这样陨落了， 我还一直想见见这位传说中美貌与能力并重的女将军呢， 这真是……太可惜了
S48L3,"Speaking of which, she used to be my immediate superior. She became the commander-in-chief of the empire at a young age. Her strategy and leadership were the most outstanding in the empire's century. Coupled with her outstanding appearance and communication skills, she can be said to have been cherished by countless people",说来她曾经也算是我的顶头上司， 年纪轻轻就当上了帝国主帅，  她的谋略和领导力都是帝国百年来最出色的， 再加上出色的外貌和交技能力， 可谓集万千宠爱于一身
S48L4,"However, in this war, even a character like her cannot escape the fate of death. This is the cruelty of war. It does not distinguish between men, women, old and young, strong and weak, rich and poor. Anyone can become its victim, and we may not be spared either",然而在这场战争中， 即便是她这样的人物， 也无法逃脱死亡的命运， 这就是战争的残酷啊， 它不分男女老少， 不分强弱贫富， 任何人都有可能成为它的牺牲品， 你我说不定也不会幸免
S48L5,"Don't worry, I will handle all issues. The most dazzling star in the empire has also been defeated by us. What else can defeat us? I will protect you in this war and bring victory to the alliance",放心， 一切有我， 现在帝国最耀眼的明星也被我们打败了， 还有什么能打败我们呢？这场战争， 我必将守护好你， 也必会为联盟带来胜利
S48L6,"I naturally believe in you, but the opponent in the next battle is the Unbreakable Army. The commander is the Imperial General Zhao.Tiebi, who has decades of military life and is known for his invincibility in thousands of battles, the Great Wall of the Empire. It is better not to take such enemies lightly",我自然是相信你的， 不过下一战的对手是不灭军， 统帅是帝国老将赵铁壁， 有着数十年的军旅生活， 更是号称千战不败， 帝国长城， 这样的敌人， 还是不要掉以轻心为好
S48L7,Hmm......do you know what the greatest advantage of the Imperial Army is?,嗯……你知道帝国军最大的优势是什么吗？
S48L8,Highly developed joint combat capabilities? Advanced weapons and equipment? Or focus on training and education?,高度发达的联合作战能力？先进的武器装备？或者注重训练和教育？
S48L9,"These are all appearances and indeed the advantages of the empire, but in reality, the empire is invincible because of its loyalty to the empire accumulated through continuous victories and large-scale warfare with absolute numerical advantages",这些都是表象， 确实是帝国的优势， 但实际上帝国能够战无不胜， 靠的是因为不断获胜积累的对帝国的忠诚和占据绝对数量优势的大规模作战
S48L10,"But now, due to the continuous decline of the empire, its authority is being questioned, and the alliance's military strength is not weaker than the imperial army, so the empire does not have an advantage in combat power",但是现在由于帝国节节败退， 帝国的权威受到怀疑， 而联盟的兵力并不弱于帝国军队， 帝国在战力上并不占优势
S48L11,"Yes, and the empire has not experienced a confrontation with a military force of its own size for a long time, so their generals have made mistakes in defense on the battlefield, so that our beheading troops can succeed. And our opponent this time, Zhao.Tiebi, is already in his 80s. Even though he was strong in his youth, he is now just an aging lion that may no longer be able to bite his prey",是的， 而且帝国已经很久没有经历过与自己一个体量的军事力量的对抗了， 所以他们的将领在战场上的防守才有纰漏， 我们斩首部队才能得手。而我们这次的对手赵铁壁毕竟已经80多岁了， 哪怕年轻的时候再强大， 现在也不过是一只垂垂老矣的狮子， 只怕是已经咬不动猎物了
S48L12,"I believe you, and we will definitely be able to successfully behead this time as well",我相信你， 我们这次也肯定可以成功斩首
S48L13,"Don't worry, we must come back victoriously. Prepare to set off",放心， 一定得胜归来， 准备出发吧
,,
